Frame,Front_Knee_Angle,Lead_Arm_Angle,Head_Deviation_X
107,173.0,142,48.5099983215332
108,165.0,149,47.36000061035156
109,163.0,150,40.88999938964844
110,162.0,146,43.27000045776367
111,163.0,150,58.470001220703125
112,171.0,144,74.62000274658203
113,166.0,148,76.83999633789062
114,167.0,146,81.18000030517578
115,168.0,143,95.06999969482422
116,162.0,154,97.4000015258789
117,161.0,154,118.72000122070312
118,150.0,144,128.16000366210938
119,164.0,161,137.58999633789062
120,147.0,167,112.62999725341797
121,142.0,144,143.50999450683594
122,150.0,158,151.89999389648438
123,153.0,82,169.1199951171875
124,161.0,87,189.0399932861328
125,159.0,165,229.52000427246094
126,162.0,162,258.0299987792969
127,159.0,173,281.760009765625
128,151.0,157,316.739990234375
129,144.0,151,333.44000244140625
130,135.0,85,352.8699951171875
131,165.0,108,374.3599853515625
132,137.0,163,407.6000061035156
133,161.0,160,415.19000244140625
134,141.0,165,450.5
135,124.0,173,459.20001220703125
136,140.0,160,480.010009765625
137,131.0,166,484.0799865722656
138,140.0,162,487.1000061035156
139,127.0,177,485.7900085449219
140,129.0,130,498.20001220703125
141,125.0,175,515.2000122070312
142,134.0,151,520.6099853515625
143,118.0,177,518.4500122070312
144,135.0,147,527.27001953125
145,152.0,177,522.27001953125
146,123.0,179,524.6599731445312
147,150.0,177,518.8800048828125
148,159.0,171,519.1500244140625
149,158.0,177,523.9099731445312
150,156.0,157,525.8300170898438
151,158.0,159,527.7999877929688
152,158.0,177,532.1199951171875
153,125.0,177,533.719970703125
154,152.0,150,536.1799926757812
155,155.0,175,532.6099853515625
156,152.0,170,534.219970703125
157,147.0,158,533.989990234375
158,140.0,175,532.2100219726562
159,125.0,170,533.239990234375
160,140.0,173,534.6199951171875
161,118.0,165,533.6199951171875
162,119.0,179,529.7899780273438
163,122.0,173,524.5800170898438
164,116.0,172,520.75
165,131.0,113,530.2999877929688
166,110.0,112,523.9199829101562
167,150.0,108,525.739990234375
168,122.0,106,524.989990234375
169,123.0,107,529.0399780273438
170,115.0,140,530.97998046875
171,116.0,115,508.5
172,110.0,113,507.3699951171875
173,113.0,120,505.0299987792969
174,146.0,138,494.42999267578125
175,118.0,128,473.6400146484375
176,123.0,124,489.0299987792969
177,145.0,118,
178,144.0,123,451.6300048828125
179,144.0,114,450.760009765625
180,146.0,128,440.55999755859375
181,143.0,128,420.489990234375
182,137.0,122,405.5
183,117.0,136,393.239990234375
184,126.0,137,382.6700134277344
185,132.0,135,353.0
186,145.0,161,344.7699890136719
187,136.0,150,318.9599914550781
